timestamp,patient_id,channel_1,channel_2,channel_3,channel_4,delta,theta,alpha,beta,gamma
24:54.8,patient_1,0.8187402294840508,0.2458474424934003,0.8545473932021803,0.12525123109620795,0.9200400525459036,0.2193893891962463,0.5724077259677651,0.095754199,0.8612322272603858
24:55.8,patient_2,0.983567207,0.35813971652914445,0.34000438605989214,0.6555099718461126,0.6502550710936615,0.4643502498821417,0.404519524,0.9225724049058001,0.15468484818486117
24:56.8,patient_3,0.259670839,0.9895053333843224,0.8696496848121713,0.039797127,0.090418978,0.4332509323090279,0.36361144919006383,0.5684722021568196,0.4515470228174244
24:57.8,patient_4,0.969723633,0.6843142489253448,0.088134431,0.5976823355234591,0.9478565672536607,0.7996918620027912,0.2168142759291083,0.36372552113568424,0.4080200912850811
24:58.8,patient_5,0.43123386979155787,0.9489806670470013,0.7767984372086307,0.8696958848516338,0.2585572636402459,0.7394746538841134,0.6696112565375176,0.7565385834953067,0.6874648040497281
24:59.8,patient_6,0.3475187953137546,0.1425565550331156,0.8475476330547363,0.8908321482896335,0.33721249040628576,0.4263182939907013,0.9706680277938705,0.25736545840163405,0.24986746525792936
25:00.8,patient_7,0.050349527,0.38213947483256927,0.18181765283733875,0.4490377603699617,0.40226041368354204,0.3337042075756299,0.17571524583682585,0.6935098370463204,0.6402509149522763
25:01.8,patient_8,0.052765258,0.5547318032823543,0.43034653237220044,0.45930368821307377,0.051224296,0.3164687840614986,0.5971166200155034,0.039711208,0.877489242
25:02.8,patient_9,0.6920112559466547,0.076758062,0.16549977466365562,0.076969183,0.49651542223060485,0.773995087,0.4241850557459762,0.839408038,0.4181315997936227
25:03.8,patient_10,0.4579289944340279,0.004187444,0.7066041289942178,0.6707650254430357,0.12331849107529225,0.052072406,0.4466887217446649,0.4481708470213185,0.9110157
25:04.8,patient_1,0.2265216260361057,0.6704343337969175,0.5353477680616567,0.8212594203728455,0.40097032668835175,0.012821649510605826,0.2541472801278144,0.6366929143579417,0.9931637389334784
25:05.8,patient_2,0.6139703063252326,0.6418195168014353,0.635323347,0.24465505460471304,0.3507097879920843,0.795544392,0.8251348756614191,0.22123781980668367,0.10609204994795207
25:06.8,patient_3,0.2528581182501112,0.41078880999961176,0.19648696695621115,0.42130088163336465,0.7728400834265033,0.4771463759890493,0.4852556041472411,0.677073713,0.23305318798485863
25:07.8,patient_4,0.5776317543444226,0.48964407603203264,0.21174586205241952,0.8388393367652703,0.8031705116327311,0.13088113855357597,0.5434058521982641,0.7722402758932766,0.9503797514820932
25:08.8,patient_5,0.35920874698269034,0.4154430005920896,0.041497326,0.877120468,0.153412882,0.23556593459450126,0.30476091279732576,0.47321318688439873,0.9583276864813868
25:09.8,patient_6,0.823552227,0.024005044844888856,0.3220675351957297,0.24317998026422594,0.3665511873792262,0.9325039530973825,0.18180846566694975,0.6177269240617943,0.097707275
25:10.8,patient_7,0.8206961607667793,0.3353716062174624,0.559744661,0.5505706345413642,0.3733531610318317,0.859502976,0.085910388,0.45632592382239856,0.014998500377136681
25:11.8,patient_8,0.4773503981224013,0.17708225539728983,0.8579349139973288,0.19249315063582706,0.15141044393608505,0.7097850502239725,0.7141191409249159,0.8940913692578455,0.16110002325642225
25:12.8,patient_9,0.3508191093350156,0.098424189,0.6669274474586807,0.10187876413955654,0.7984535050511905,0.48222523033732656,0.19623428168785562,0.49786918051431917,0.9960127833822483
25:13.8,patient_10,0.36255979655909454,0.9567204338893498,0.43539632339975143,0.9111205013919575,0.7072283283354233,0.5203236261913857,0.6900753541887977,0.8418087090288189,0.17999961661068686
25:14.8,patient_1,0.8057145256682179,0.5993597250421656,0.9531201143941378,0.8205075042321092,0.19038178629703473,0.9752445352839586,0.3903764460469539,0.8013520582702486,0.5025476067220231
25:15.8,patient_2,0.328179483,0.7286562842366027,0.7192452005758319,0.7600349018031739,0.36672190859379905,0.9657704438842871,0.41577480098965147,0.41050482134835653,0.848417726
25:16.8,patient_3,0.20905937370684602,0.3153637432661175,0.930165203,0.048766319,0.10580502485651422,0.21526904578583428,0.4691774960927717,0.23008449185747504,0.020401611
25:17.8,patient_4,0.084688342,0.3931471294940152,0.5275879732721657,0.8437287927102575,0.6282065970930439,0.8111045663053181,0.3677085081275432,0.406082133,0.6044889822584595
25:18.8,patient_5,0.4666931208844084,0.23692399389672347,0.2589042747931396,0.43804407590538375,0.12137192454861967,0.1972426661670168,0.10061997722259008,0.8262173757752201,0.2770254488696243
25:19.8,patient_6,0.4821320989198419,0.096965671,0.052826686364721986,0.34239512329585964,0.9859341686249178,0.2135374778839514,0.3096318100028458,0.22763253581939236,0.8623349164397316
25:20.8,patient_7,0.8409087104029072,0.1790316374415838,0.7260848514838505,0.5464763610253764,0.7806820746878623,0.6760930341645768,0.6637343606939384,0.5244363458577493,0.28346114926407917
25:21.8,patient_8,0.22123869644606398,0.7975140452964858,0.12130299800553412,0.091353243,0.39023854958399506,0.4050010985875484,0.665784401,0.8060967479607475,0.6867557202819089
25:22.8,patient_9,0.3809912736683999,0.6775458051837758,0.3027751282719672,0.7566465493523988,0.5785639322793544,0.9315444071065202,0.28622430723999437,0.3534774751283788,0.6742196324473969
25:23.8,patient_10,0.8084057388936909,0.5469288759854769,0.5324709078838974,0.5824350768882959,0.9113418162164088,0.089009735,0.46010262655768797,0.6422096370026974,0.221493549
25:24.8,patient_1,0.8236236107489735,0.47508987286676807,0.5644165877797477,0.18659009687316752,0.5540992803958261,0.511525641,0.19344722801193748,0.24563157404881453,0.0347992
25:25.8,patient_2,0.3846110759787682,0.9224342836561245,0.600583197,0.1882321997690456,0.17449848639795518,0.9185215304431212,0.21037208152983577,0.10927944536815992,0.4092495737853973
25:26.8,patient_3,0.4591240232866809,0.072734948,0.16625533034970064,0.18424865157267423,0.3787033555811593,0.9041136604795051,0.023047088406607408,0.7943842250928563,0.2891931519658697
25:27.8,patient_4,0.3032858908492829,0.28060081323791597,0.37973740482164875,0.057002387551933986,0.8431448650297454,0.15652921341574122,0.8967465499077446,0.098968623,0.8089777496137086
25:28.8,patient_5,0.9325548784193121,0.34993785357071405,0.6171942271169667,0.5877984493716848,0.6442130159896179,0.36663770009645646,0.2107066650749062,0.2713813950795846,0.8003641884553453
25:29.8,patient_6,0.11864376574158031,0.7824258122127878,0.9698188646337847,0.8403481775885081,0.6507243843338003,0.6191214000466962,0.22753387693646332,0.8551094219974401,0.4570239521926255
25:30.8,patient_7,0.933749423,0.9925146201619713,0.7276311376996887,0.017498214,0.8668214856884892,0.15939488477140218,0.2796014326451318,0.3464692870786672,0.6065122253232189
25:31.8,patient_8,0.6838664518353432,0.24067051475715306,0.9226037570939578,0.049004645,0.8939730574625047,0.9680221720457387,0.127408072,0.9730453495141611,0.6042595159869252
25:32.8,patient_9,0.5315721526867312,0.8743073341370806,0.762212058,0.5727702766869458,0.9197925717794363,0.9147493287276603,0.6392628831813628,0.9797343347738597,0.8271581484276234
25:33.8,patient_10,0.032659060784495875,0.8306227604317913,0.5917169688924004,0.8194956853860523,0.094849193,0.16695017903446918,0.075142953,0.2682760204535567,0.4250024141231975
25:34.8,patient_1,0.4755961918220083,0.22465739764176662,0.19202336913634455,0.3267388905686336,0.5441260019631009,0.12115546126098542,0.13420242632635027,0.040978222,0.2754466797905091
25:35.8,patient_2,0.4077481050027323,0.3993325801992226,0.666685652,0.34961439880772216,0.7405095212183186,0.085408483,0.6447567265900929,0.7050632842053791,0.26503491814054747
25:36.8,patient_3,0.16121881197512256,0.4096728692925191,0.6233795659599071,0.5963464974967759,0.7569268451270138,0.9094436640366311,0.33966062048144274,0.4509865026483437,0.5361922792822041
25:37.8,patient_4,0.6564096035006569,0.9782206685265583,0.6024691704572664,0.274212889,0.6067162019700039,0.1936238097954608,0.707947827,0.10075284395957629,0.44914820273221256
25:38.8,patient_5,0.9711509073682858,0.18089190137889832,0.48978586798824075,0.026608366,0.16678733518367417,0.4162849285443547,0.557424745,0.7075228189780428,0.4401207709849362
25:39.8,patient_6,0.5621888110645251,0.799157971,0.5286566039892756,0.7352285181015961,0.7974205539416643,0.448851366,0.25602117306151306,0.031174909111921223,0.091137339
25:40.8,patient_7,0.7147532764439458,0.3341927141731099,0.33444252711810407,0.6256499129414531,0.7201113335149457,0.5990110442135675,0.6508279504893281,0.8701966904922421,0.7186037406901956
25:41.8,patient_8,0.068450453,0.7308703457761604,0.5193126926423032,0.5807559990556591,0.086135772,0.071735344,0.11627368029288065,0.13865252911330372,0.2137366879819107
25:42.8,patient_9,0.41766699581699473,0.42001100429566285,0.19755590567847825,0.7416841289918231,0.46380982467437626,0.22675861740051595,0.5364103830800304,0.127311879,0.19695363020872136
25:43.8,patient_10,0.11635848516449587,0.578359763,0.8051743973603768,0.6752308375620375,0.17397739952180358,0.931490387,0.43714810504503465,0.17567229796858452,0.41275832027739345
25:44.8,patient_1,0.6127958355365104,0.8326117733261311,0.1857769546987078,0.20588198817832115,0.3374770457129719,0.9084101072685695,0.2678735828174408,0.9602663584920665,0.22777834161780142
